group,name,seed,finished,best_epoch,best_val_loss,test_mixed_mae,test_workday_mae,test_holiday_mae,test_avg_mae,fpem_env_route_k,fpem_lambda_inv_pred,fpem_use_env_route,fpem_use_env_fusion,fpem_use_confounder_extractor,fpem_use_club_mi,fpem_lambda_club_mi,fpem_use_future_mi,fpem_lambda_future_mi,fpem_use_swap,fpem_lambda_swap,fpem_env_route_head_mode,fpem_use_grad_consensus,fpem_use_pretrained_inv_agcrn,fpem_pretrained_inv_agcrn_path,batch_size,test_batch_size
loo,loo_full,2024,true,83,11.794861,10.595900,10.499650,10.762808,10.631229,1,0.000000,true,true,true,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_full,2025,true,84,11.278579,10.172178,10.066061,10.356915,10.211488,1,0.000000,true,true,true,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_full,2026,true,83,11.753649,10.589844,10.481226,10.778201,10.629714,1,0.000000,true,true,true,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_inv_only,2024,true,75,11.855185,10.681861,10.594423,10.833490,10.713957,1,0.000000,false,false,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_inv_only,2025,true,72,11.336036,10.222973,10.123464,10.396207,10.259835,1,0.000000,false,false,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_inv_only,2026,true,83,11.829737,10.645506,10.543674,10.822096,10.682885,1,0.000000,false,false,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_k3,2024,true,92,11.751665,10.570432,10.468268,10.747595,10.607932,3,0.000000,true,true,true,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_k3,2025,true,99,11.250225,10.099742,9.998231,10.276462,10.137346,3,0.000000,true,true,true,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_k3,2026,true,96,11.719630,10.521270,10.413164,10.708736,10.560950,3,0.000000,true,true,true,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_with_inv_loss,2024,true,83,11.799002,10.597682,10.501576,10.764340,10.632958,1,0.200000,true,true,true,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
