group	name	seed	status	run_name	detail
no	no_conf_k3_mask_off	2024	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k3_mask_off_seed2024	
no	no_conf_k3_mask_on	2025	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k3_mask_on_seed2025	
no	no_conf_k3_mask_on	2024	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k3_mask_on_seed2024	
no	no_conf_k3_mask_on	2026	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k3_mask_on_seed2026	
no	no_conf_k3_mask_off	2025	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k3_mask_off_seed2025	
no	no_conf_k3_no_mask_no_swap_no_club	2024	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k3_no_mask_no_swap_no_club_seed2024	
no	no_conf_k3_no_mask_no_swap_no_club	2025	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k3_no_mask_no_swap_no_club_seed2025	
no	no_conf_k3_mask_off	2026	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k3_mask_off_seed2026	
no	no_conf_k3_no_mask_no_swap_no_club_no_future	2024	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k3_no_mask_no_swap_no_club_no_future_seed2024	
no	no_conf_k3_no_mask_no_swap_no_club_no_future	2025	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k3_no_mask_no_swap_no_club_no_future_seed2025	
no	no_conf_k3_no_mask_no_swap_no_club	2026	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k3_no_mask_no_swap_no_club_seed2026	
no	no_conf_k3_no_mask_no_swap_no_club_no_future	2026	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k3_no_mask_no_swap_no_club_no_future_seed2026	
no	no_conf_k2_no_mask_no_swap_no_club	2024	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k2_no_mask_no_swap_no_club_seed2024	
no	no_conf_k2_no_mask_no_swap_no_club	2026	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k2_no_mask_no_swap_no_club_seed2026	
no	no_conf_k2_no_mask_no_swap_no_club	2025	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k2_no_mask_no_swap_no_club_seed2025	
no	no_conf_k4_no_mask_no_swap_no_club	2024	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k4_no_mask_no_swap_no_club_seed2024	
no	no_conf_k4_no_mask_no_swap_no_club	2026	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k4_no_mask_no_swap_no_club_seed2026	
no	no_conf_k4_no_mask_no_swap_no_club	2025	OK	fpem_agcrn_aligned_pretrained_inv_best_recipe_no_conf_k4_no_mask_no_swap_no_club_seed2025	
