group,name,seed,finished,best_epoch,best_val_loss,test_mixed_mae,test_workday_mae,test_holiday_mae,test_avg_mae,fpem_env_route_k,fpem_lambda_inv_pred,fpem_use_env_route,fpem_use_env_fusion,fpem_use_confounder_extractor,fpem_use_club_mi,fpem_lambda_club_mi,fpem_use_future_mi,fpem_lambda_future_mi,fpem_use_swap,fpem_lambda_swap,fpem_env_route_head_mode,fpem_use_grad_consensus,fpem_use_pretrained_inv_agcrn,fpem_pretrained_inv_agcrn_path,batch_size,test_batch_size
other,no_conf_k3_mask_on,2024,true,100,11.719626,10.519968,10.433193,10.670446,10.551820,3,0.000000,true,true,false,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
other,no_conf_k3_mask_on,2025,true,93,11.232862,10.094245,9.986183,10.282369,10.134276,3,0.000000,true,true,false,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
other,no_conf_k3_mask_on,2026,true,91,11.639795,10.465022,10.379891,10.612646,10.496269,3,0.000000,true,true,false,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
other,no_conf_k3_mask_off,2024,true,98,11.737780,10.527988,10.427350,10.702508,10.564929,3,0.000000,true,true,false,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
other,no_conf_k3_mask_off,2025,true,99,11.273206,10.124754,10.014812,10.316152,10.165482,3,0.000000,true,true,false,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
other,no_conf_k3_mask_off,2026,true,99,11.648074,10.433244,10.348742,10.579777,10.464260,3,0.000000,true,true,false,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
other,no_conf_k3_no_mask_no_swap_no_club,2024,true,100,11.714943,10.500166,10.391489,10.688624,10.540057,3,0.000000,true,true,false,false,0.000000,true,0.020000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
other,no_conf_k3_no_mask_no_swap_no_club,2025,true,99,11.231159,10.061665,9.964999,10.229949,10.097474,3,0.000000,true,true,false,false,0.000000,true,0.020000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
other,no_conf_k3_no_mask_no_swap_no_club,2026,true,91,11.692739,10.518983,10.423014,10.685405,10.554209,3,0.000000,true,true,false,false,0.000000,true,0.020000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
other,no_conf_k3_no_mask_no_swap_no_club_no_future,2024,true,89,11.714732,10.491406,10.393503,10.661180,10.527342,3,0.000000,true,true,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
