target,feature_set,classifier,n_train,n_test,accuracy,auc,f1
workday,z_inv_raw,logistic_regression,382,164,0.7682926829268293,0.8353936239427456,0.819047619047619
workday,z_inv_raw,linear_svm,382,164,0.7439024390243902,0.8462914769030578,0.8220338983050848
workday,h_inv,logistic_regression,382,164,0.75,0.8254716981132075,0.8
workday,h_inv,linear_svm,382,164,0.7439024390243902,0.8352309694209499,0.8205128205128205
workday,e_env,logistic_regression,382,164,0.9390243902439024,0.9843851659076122,0.9528301886792453
workday,e_env,linear_svm,382,164,0.9512195121951219,0.9907286922576448,0.963302752293578
workday,h_inv_plus_e_env,logistic_regression,382,164,0.9695121951219512,0.9918672739102147,0.9769585253456221
workday,h_inv_plus_e_env,linear_svm,382,164,0.975609756097561,0.9952830188679245,0.9814814814814815
rush_hour,z_inv_raw,logistic_regression,382,164,0.9329268292682927,0.9861193733888558,0.8674698795180723
rush_hour,h_inv,logistic_regression,382,164,0.9329268292682927,0.9867142573864762,0.8674698795180723
rush_hour,e_env,logistic_regression,382,164,1.0,1.0,1.0
rush_hour,h_inv_plus_e_env,logistic_regression,382,164,1.0,1.0,1.0
