category_type,category,num_samples,expert_0_count,expert_0_prob,expert_1_count,expert_1_prob,expert_2_count,expert_2_prob
workday_holiday,holiday,192,2,0.010416666666666666,190,0.9895833333333334,0,0.0
workday_holiday,workday,354,49,0.1384180790960452,305,0.8615819209039548,0,0.0
hour,0,23,0,0.0,23,1.0,0,0.0
hour,1,22,0,0.0,22,1.0,0,0.0
hour,2,22,0,0.0,22,1.0,0,0.0
hour,3,22,0,0.0,22,1.0,0,0.0
hour,4,22,0,0.0,22,1.0,0,0.0
hour,5,22,0,0.0,22,1.0,0,0.0
hour,6,22,0,0.0,22,1.0,0,0.0
hour,7,22,0,0.0,22,1.0,0,0.0
hour,8,22,0,0.0,22,1.0,0,0.0
hour,9,22,0,0.0,22,1.0,0,0.0
hour,10,22,0,0.0,22,1.0,0,0.0
hour,11,22,0,0.0,22,1.0,0,0.0
hour,12,22,1,0.045454545454545456,21,0.9545454545454546,0,0.0
hour,13,22,5,0.22727272727272727,17,0.7727272727272727,0,0.0
hour,14,22,14,0.6363636363636364,8,0.36363636363636365,0,0.0
hour,15,23,15,0.6521739130434783,8,0.34782608695652173,0,0.0
hour,16,24,0,0.0,24,1.0,0,0.0
hour,17,24,0,0.0,24,1.0,0,0.0
hour,18,24,0,0.0,24,1.0,0,0.0
hour,19,24,0,0.0,24,1.0,0,0.0
hour,20,24,0,0.0,24,1.0,0,0.0
hour,21,24,5,0.20833333333333334,19,0.7916666666666666,0,0.0
hour,22,24,11,0.4583333333333333,13,0.5416666666666666,0,0.0
hour,23,24,0,0.0,24,1.0,0,0.0
rush_hour,non_rush_hour,408,51,0.125,357,0.875,0,0.0
rush_hour,rush_hour,138,0,0.0,138,1.0,0,0.0
