route_mode,group,num_samples,mae
learned,overall,546,9.996747016906738
learned,workday,354,9.903175354003906
learned,holiday,192,10.159645080566406
learned,rush_hour,138,11.20718765258789
learned,non_rush_hour,408,9.599871635437012
uniform,overall,546,10.090625762939453
uniform,workday,354,10.001065254211426
uniform,holiday,192,10.246539115905762
uniform,rush_hour,138,11.327648162841797
uniform,non_rush_hour,408,9.685035705566406
shuffled,overall,546,9.996277809143066
shuffled,workday,354,9.903226852416992
shuffled,holiday,192,10.158269882202148
shuffled,rush_hour,138,11.20510482788086
shuffled,non_rush_hour,408,9.599930763244629
remove_0,overall,546,10.042414665222168
remove_0,workday,354,9.95102596282959
remove_0,holiday,192,10.20151138305664
remove_0,rush_hour,138,11.294393539428711
remove_0,non_rush_hour,408,9.631919860839844
remove_1,overall,546,10.03380012512207
remove_1,workday,354,9.930546760559082
remove_1,holiday,192,10.213553428649902
remove_1,rush_hour,138,11.272736549377441
remove_1,non_rush_hour,408,9.627582550048828
remove_2,overall,546,10.034972190856934
remove_2,workday,354,9.943350791931152
remove_2,holiday,192,10.194477081298828
remove_2,rush_hour,138,11.249238967895508
remove_2,non_rush_hour,408,9.63684368133545
