group_type,group,expert,num_group_samples,num_assigned_samples,assigned_final_mae,group_final_mae,expert_head_mae_on_group
workday_holiday,workday,0,354,0,,7.888062953948975,8.29126262664795
workday_holiday,workday,1,354,354,7.888062953948975,7.888062953948975,8.357722282409668
workday_holiday,workday,2,354,0,,7.888062953948975,8.32245922088623
workday_holiday,holiday,0,192,0,,7.975791931152344,8.42403793334961
workday_holiday,holiday,1,192,192,7.975791931152344,7.975791931152344,8.493329048156738
workday_holiday,holiday,2,192,0,,7.975791931152344,8.442804336547852
rush_hour,rush_hour,0,138,0,,8.788243293762207,9.259556770324707
rush_hour,rush_hour,1,138,138,8.788243293762207,8.788243293762207,9.432316780090332
rush_hour,rush_hour,2,138,0,,8.788243293762207,9.377814292907715
rush_hour,non_rush_hour,0,408,0,,7.635417461395264,8.038107872009277
rush_hour,non_rush_hour,1,408,408,7.635417461395264,7.635417461395264,8.071085929870605
rush_hour,non_rush_hour,2,408,0,,7.635417461395264,8.034737586975098
