target,feature_set,classifier,n_train,n_test,accuracy,auc,f1
workday,z_inv_raw,logistic_regression,382,164,0.7621951219512195,0.8321405335068314,0.8115942028985508
workday,z_inv_raw,linear_svm,382,164,0.7439024390243902,0.8415744957709825,0.8205128205128205
workday,h_inv,logistic_regression,382,164,0.7621951219512195,0.8321405335068314,0.8115942028985508
workday,h_inv,linear_svm,382,164,0.7439024390243902,0.8415744957709825,0.8205128205128205
workday,e_env,logistic_regression,382,164,0.8719512195121951,0.941932335718933,0.896551724137931
workday,e_env,linear_svm,382,164,0.8963414634146342,0.9567338972023423,0.92018779342723
workday,h_inv_plus_e_env,logistic_regression,382,164,0.9085365853658537,0.9599869876382564,0.927536231884058
workday,h_inv_plus_e_env,linear_svm,382,164,0.9146341463414634,0.9721860767729343,0.9351851851851852
rush_hour,z_inv_raw,logistic_regression,382,164,0.9390243902439024,0.9831449534007536,0.8809523809523809
rush_hour,h_inv,logistic_regression,382,164,0.9390243902439024,0.9831449534007536,0.8809523809523809
rush_hour,e_env,logistic_regression,382,164,0.9207317073170732,0.9773944080904223,0.8539325842696629
rush_hour,h_inv_plus_e_env,logistic_regression,382,164,0.9573170731707317,0.9896886773745786,0.9113924050632911
