group_type,group,expert,num_group_samples,num_assigned_samples,assigned_final_mae,group_final_mae,expert_head_mae_on_group
workday_holiday,workday,0,354,0,,9.923799514770508,10.252331733703613
workday_holiday,workday,1,354,354,9.923799514770508,9.923799514770508,10.207137107849121
workday_holiday,workday,2,354,0,,9.923799514770508,21.88741683959961
workday_holiday,holiday,0,192,0,,10.21774673461914,10.517497062683105
workday_holiday,holiday,1,192,192,10.21774673461914,10.21774673461914,10.46450424194336
workday_holiday,holiday,2,192,0,,10.21774673461914,21.821208953857422
rush_hour,rush_hour,0,138,0,,11.220890045166016,11.674154281616211
rush_hour,rush_hour,1,138,138,11.220890045166016,11.220890045166016,11.624814987182617
rush_hour,rush_hour,2,138,0,,11.220890045166016,22.699613571166992
rush_hour,non_rush_hour,0,408,0,,9.640921592712402,9.914613723754883
rush_hour,non_rush_hour,1,408,408,9.640921592712402,9.640921592712402,9.866999626159668
rush_hour,non_rush_hour,2,408,0,,9.640921592712402,21.589040756225586
