sample_index,time_label,workday,holiday,hour,hour_bin,rush_hour,expert_id,mae_inv,mae_final,mean_abs_delta_env,route_weight_0,route_weight_1,route_weight_2,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7
0,15,1,0,15,15,0,1,13.067605018615723,12.584545135498047,2.6281753,0.4481966,0.4567821,0.095021285,3.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0
1,16,1,0,16,16,0,1,12.260039329528809,12.324108123779297,1.7681351,0.45223224,0.49607462,0.05169306,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0
2,16,1,0,16,16,0,1,10.835320472717285,10.916674613952637,2.050887,0.45143366,0.4972585,0.051307864,3.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0
3,17,1,0,17,17,1,1,8.60485553741455,8.47436809539795,2.5088913,0.44062746,0.4932702,0.06610235,3.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0
4,17,1,0,17,17,1,1,10.95081615447998,10.895075798034668,2.4751024,0.43900654,0.49198836,0.06900503,3.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0
5,18,1,0,18,18,1,1,10.555292129516602,10.662986755371094,2.114631,0.42767683,0.44729215,0.12503101,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0
6,18,1,0,18,18,1,1,10.260246276855469,10.131402015686035,1.9878255,0.42833328,0.4479848,0.123681895,4.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0
7,19,1,0,19,19,1,1,11.228719711303711,11.026443481445312,1.7109439,0.42704985,0.48507625,0.08787385,4.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0
8,19,1,0,19,19,1,1,11.71098518371582,11.653705596923828,1.6005731,0.42691013,0.48477596,0.08831399,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0
9,20,1,0,20,20,0,1,11.952669143676758,11.800573348999023,1.6917505,0.43578,0.4861577,0.078062356,3.0,2.0,3.0,2.0,1.0,4.0,0.0,1.0
10,20,1,0,20,20,0,1,9.396590232849121,9.18224048614502,1.7090188,0.436556,0.48446172,0.078982264,3.0,2.0,3.0,2.0,1.0,3.0,0.0,1.0
11,21,1,0,21,21,0,1,12.531718254089355,12.370227813720703,1.629416,0.44179493,0.47964537,0.07855967,3.0,3.0,3.0,2.0,1.0,4.0,0.0,0.0
12,21,1,0,21,21,0,1,13.194215774536133,12.893630027770996,1.5758722,0.44010386,0.48055124,0.079344966,4.0,3.0,4.0,2.0,1.0,4.0,0.0,1.0
13,22,1,0,22,22,0,1,12.251100540161133,12.188129425048828,1.5348853,0.4481709,0.4849831,0.06684598,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0
14,22,1,0,22,22,0,1,10.566909790039062,10.475542068481445,1.4664831,0.4504455,0.48760477,0.061949726,4.0,3.0,3.0,3.0,2.0,4.0,0.0,1.0
15,23,1,0,23,23,0,1,11.531989097595215,11.542682647705078,1.2625698,0.46892068,0.48829925,0.042780012,3.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0
16,23,1,0,23,23,0,1,10.92296314239502,10.788529396057129,1.3735837,0.46989158,0.4887787,0.041329637,2.0,3.0,2.0,2.0,2.0,4.0,1.0,0.0
17,0,1,0,0,0,0,1,11.192095756530762,11.295604705810547,2.7796118,0.47025615,0.49971247,0.030031364,2.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0
18,0,1,0,0,0,0,1,7.609114646911621,7.474058151245117,3.0089612,0.4699601,0.4995294,0.030510504,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0
19,1,1,0,1,1,0,1,6.524503231048584,6.394822120666504,3.4354103,0.48249292,0.49331635,0.024190707,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0
20,1,1,0,1,1,0,1,6.004075050354004,5.9705634117126465,3.6469598,0.48253593,0.4935457,0.023918353,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
21,2,1,0,2,2,0,1,5.157994270324707,4.989478588104248,3.5322716,0.48145375,0.4938475,0.02469872,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
22,2,1,0,2,2,0,1,4.885613441467285,4.904571533203125,3.6579041,0.48095703,0.49488595,0.024157027,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23,3,1,0,3,3,0,1,4.566433429718018,4.467092037200928,3.503998,0.4819665,0.4950223,0.0230113,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
24,3,1,0,3,3,0,1,3.907647132873535,3.902376174926758,3.5421667,0.48143828,0.49568856,0.02287312,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
25,4,1,0,4,4,0,1,3.669829845428467,3.4333078861236572,3.435272,0.48066816,0.4950849,0.024246914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26,4,1,0,4,4,0,1,4.096444606781006,3.7976863384246826,3.5951378,0.47880077,0.4965902,0.024609117,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
27,5,1,0,5,5,0,1,4.332061767578125,3.8760814666748047,5.0882688,0.4816485,0.49971536,0.01863618,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
28,5,1,0,5,5,0,1,3.8168468475341797,3.2419276237487793,5.193419,0.4814749,0.49954575,0.018979397,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
29,6,1,0,6,6,0,1,6.323388576507568,5.900828838348389,4.704245,0.45214996,0.50279737,0.045052696,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
30,6,1,0,6,6,0,1,5.9350175857543945,5.644847869873047,4.8000813,0.4494232,0.503026,0.047550753,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
31,7,1,0,7,7,1,1,9.459184646606445,8.699437141418457,5.36515,0.4294532,0.48003104,0.09051583,2.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0
32,7,1,0,7,7,1,1,10.692919731140137,9.900832176208496,4.692042,0.42736933,0.4796453,0.09298535,3.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0
33,8,1,0,8,8,1,1,14.296073913574219,13.577693939208984,3.4317336,0.4297994,0.4907669,0.079433605,3.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0
34,8,1,0,8,8,1,1,10.810786247253418,10.637701988220215,2.8943763,0.42842612,0.48759285,0.083980985,4.0,3.0,5.0,5.0,4.0,2.0,1.0,1.0
35,9,1,0,9,9,1,1,11.169776916503906,10.993887901306152,1.7570925,0.42500713,0.48448747,0.09050531,4.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0
36,9,1,0,9,9,1,1,8.882589340209961,9.030811309814453,1.6001662,0.42590606,0.48366615,0.0904278,4.0,5.0,4.0,5.0,3.0,4.0,0.0,1.0
37,10,1,0,10,10,0,1,12.104989051818848,12.262374877929688,2.18275,0.46368203,0.49241057,0.043907396,3.0,5.0,3.0,4.0,2.0,2.0,2.0,1.0
