target,feature_set,classifier,n_train,n_test,accuracy,auc,f1
workday,z_inv_raw,logistic_regression,382,164,0.7621951219512195,0.8269355888093688,0.8115942028985508
workday,z_inv_raw,linear_svm,382,164,0.7439024390243902,0.8378334417696811,0.8189655172413793
workday,h_inv,logistic_regression,382,164,0.7621951219512195,0.8269355888093688,0.8115942028985508
workday,h_inv,linear_svm,382,164,0.7439024390243902,0.8378334417696811,0.8189655172413793
workday,e_env,logistic_regression,382,164,0.9634146341463414,0.9975601821730644,0.9714285714285714
workday,e_env,linear_svm,382,164,0.9817073170731707,0.9998373454782042,0.986046511627907
workday,h_inv_plus_e_env,logistic_regression,382,164,0.975609756097561,0.9990240728692258,0.9809523809523809
workday,h_inv_plus_e_env,linear_svm,382,164,0.9878048780487805,0.9996746909564086,0.9905660377358491
rush_hour,z_inv_raw,logistic_regression,382,164,0.9390243902439024,0.983343248066627,0.8809523809523809
rush_hour,h_inv,logistic_regression,382,164,0.9390243902439024,0.983343248066627,0.8809523809523809
rush_hour,e_env,logistic_regression,382,164,0.9939024390243902,1.0,0.9879518072289156
rush_hour,h_inv_plus_e_env,logistic_regression,382,164,0.9939024390243902,1.0,0.9879518072289156
