category_type,category,expert_0,expert_1,expert_2
workday_holiday,holiday,0.4947916666666667,0.5052083333333334,0.0
workday_holiday,workday,0.4858757062146893,0.5141242937853108,0.0
hour,0,0.5652173913043478,0.43478260869565216,0.0
hour,1,1.0,0.0,0.0
hour,2,1.0,0.0,0.0
hour,3,1.0,0.0,0.0
hour,4,1.0,0.0,0.0
hour,5,1.0,0.0,0.0
hour,6,1.0,0.0,0.0
hour,7,1.0,0.0,0.0
hour,8,0.8636363636363636,0.13636363636363635,0.0
hour,9,0.7727272727272727,0.22727272727272727,0.0
hour,10,0.36363636363636365,0.6363636363636364,0.0
hour,11,0.09090909090909091,0.9090909090909091,0.0
hour,12,0.09090909090909091,0.9090909090909091,0.0
hour,13,0.0,1.0,0.0
hour,14,0.09090909090909091,0.9090909090909091,0.0
hour,15,0.782608695652174,0.21739130434782608,0.0
hour,16,0.0,1.0,0.0
hour,17,0.0,1.0,0.0
hour,18,0.3333333333333333,0.6666666666666666,0.0
hour,19,0.2916666666666667,0.7083333333333334,0.0
hour,20,0.08333333333333333,0.9166666666666666,0.0
hour,21,0.16666666666666666,0.8333333333333334,0.0
hour,22,0.125,0.875,0.0
hour,23,0.3333333333333333,0.6666666666666666,0.0
rush_hour,non_rush_hour,0.47549019607843135,0.5245098039215687,0.0
rush_hour,rush_hour,0.5289855072463768,0.47101449275362317,0.0
