sample_index,time_label,workday,holiday,hour,hour_bin,rush_hour,expert_id,mae_inv,mae_final,mean_abs_delta_env,route_weight_0,route_weight_1,route_weight_2,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7
0,15,1,0,15,15,0,0,13.030237197875977,12.683506965637207,3.1085708,0.4731491,0.42539793,0.10145301,3.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0
1,16,1,0,16,16,0,1,12.062285423278809,11.939702033996582,1.9008954,0.42161655,0.4823003,0.09608315,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0
2,16,1,0,16,16,0,1,10.821676254272461,10.751843452453613,2.0966794,0.4245349,0.4801537,0.09531134,3.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0
3,17,1,0,17,17,1,1,8.589405059814453,8.360841751098633,2.1200204,0.41832444,0.48264468,0.09903084,3.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0
4,17,1,0,17,17,1,1,10.74284839630127,10.552448272705078,1.9915875,0.41447285,0.48580822,0.0997189,3.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0
5,18,1,0,18,18,1,1,10.539229393005371,10.2361478805542,2.3401508,0.4326448,0.45361894,0.11373627,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0
6,18,1,0,18,18,1,1,10.296236038208008,10.107156753540039,2.2116299,0.4313539,0.45548788,0.11315825,4.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0
7,19,1,0,19,19,1,1,11.138011932373047,11.058931350708008,1.6368294,0.41818655,0.4762763,0.10553713,4.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0
8,19,1,0,19,19,1,1,11.79632568359375,11.749422073364258,1.5535299,0.41738078,0.47700542,0.10561383,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0
9,20,1,0,20,20,0,1,11.94614315032959,11.79004192352295,1.5649171,0.42896727,0.46968764,0.10134516,3.0,2.0,3.0,2.0,1.0,4.0,0.0,1.0
10,20,1,0,20,20,0,1,9.303738594055176,9.230005264282227,1.6071302,0.4289715,0.47062066,0.10040783,3.0,2.0,3.0,2.0,1.0,3.0,0.0,1.0
11,21,1,0,21,21,0,1,12.556157112121582,12.506080627441406,1.5964181,0.43173662,0.47271162,0.09555184,3.0,3.0,3.0,2.0,1.0,4.0,0.0,0.0
12,21,1,0,21,21,0,1,13.124921798706055,12.958237648010254,1.6248524,0.42168358,0.47987628,0.09844012,4.0,3.0,4.0,2.0,1.0,4.0,0.0,1.0
13,22,1,0,22,22,0,1,12.207590103149414,12.07896614074707,1.581676,0.42009255,0.4818493,0.098058105,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0
14,22,1,0,22,22,0,1,10.540121078491211,10.376263618469238,1.6021212,0.4240777,0.47832197,0.09760038,4.0,3.0,3.0,3.0,2.0,4.0,0.0,1.0
15,23,1,0,23,23,0,1,11.480142593383789,11.214035034179688,1.7734183,0.44182783,0.47043222,0.087740034,3.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0
16,23,1,0,23,23,0,1,10.964430809020996,10.987874984741211,1.9837348,0.45348203,0.46081328,0.08570466,2.0,3.0,2.0,2.0,2.0,4.0,1.0,0.0
17,0,1,0,0,0,0,0,11.252488136291504,11.42365550994873,2.2375836,0.4918552,0.43403664,0.07410823,2.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0
18,0,1,0,0,0,0,0,7.5711493492126465,7.299803256988525,2.4724512,0.50135064,0.42661723,0.07203211,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0
19,1,1,0,1,1,0,0,6.475031852722168,6.299663066864014,2.8982272,0.59197336,0.35421225,0.05381442,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0
20,1,1,0,1,1,0,0,5.983399868011475,5.862878322601318,3.1073492,0.60447204,0.34343767,0.052090313,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
21,2,1,0,2,2,0,0,5.105896949768066,4.850210666656494,3.3567262,0.6160201,0.33298954,0.050990436,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
22,2,1,0,2,2,0,0,4.8924384117126465,4.900284290313721,3.5528097,0.63419664,0.31742063,0.048382714,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23,3,1,0,3,3,0,0,4.561896800994873,4.32396936416626,3.6537085,0.6561549,0.29800776,0.045837402,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
24,3,1,0,3,3,0,0,3.9410407543182373,3.785130500793457,3.7129204,0.674293,0.28231397,0.04339313,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
25,4,1,0,4,4,0,0,3.659878730773926,3.4262847900390625,3.7953775,0.6811796,0.27521783,0.04360254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
