route_mode,group,num_samples,mae
learned,overall,4,165.68504333496094
learned,workday,4,165.68504333496094
learned,holiday,0,
learned,rush_hour,1,148.04766845703125
learned,non_rush_hour,3,171.50401306152344
uniform,overall,4,116.61474609375
uniform,workday,4,116.61474609375
uniform,holiday,0,
uniform,rush_hour,1,101.72989654541016
uniform,non_rush_hour,3,121.52560424804688
shuffled,overall,4,165.68504333496094
shuffled,workday,4,165.68504333496094
shuffled,holiday,0,
shuffled,rush_hour,1,148.0476837158203
shuffled,non_rush_hour,3,171.50401306152344
remove_0,overall,4,261.578857421875
remove_0,workday,4,261.578857421875
remove_0,holiday,0,
remove_0,rush_hour,1,246.6141357421875
remove_0,non_rush_hour,3,266.5160827636719
remove_1,overall,4,188.4661102294922
remove_1,workday,4,188.4661102294922
remove_1,holiday,0,
remove_1,rush_hour,1,170.77630615234375
remove_1,non_rush_hour,3,194.30238342285156
remove_2,overall,4,146.13616943359375
remove_2,workday,4,146.13616943359375
remove_2,holiday,0,
remove_2,rush_hour,1,138.3220977783203
remove_2,non_rush_hour,3,148.71420288085938
