split,sample_index,e_dim1,e_dim2,z_dim1,z_dim2,gmm_cluster_id,selected_expert_hungarian,hour,workday_or_holiday,gmm_confidence,embedding_method_e,embedding_method_z
test,0,-0.12840500473976135,0.17955957353115082,-0.16407597064971924,0.12157570570707321,2,0,15,workday,0.9999980926513672,pca,pca
test,1,0.04065132513642311,0.25384774804115295,-0.1558353453874588,0.13132883608341217,1,1,16,workday,1.0,pca,pca
test,2,0.09688379615545273,0.22104404866695404,-0.04876801371574402,0.15213914215564728,1,1,16,workday,1.0,pca,pca
test,3,0.19841831922531128,0.14395377039909363,0.005768413655459881,0.1661403477191925,1,1,17,workday,1.0,pca,pca
test,4,0.1303800344467163,0.119486965239048,-0.021309640258550644,0.15510165691375732,1,1,17,workday,1.0,pca,pca
test,5,-0.12634997069835663,0.06905017793178558,-0.11820439994335175,0.10294411331415176,2,0,18,workday,1.0,pca,pca
test,6,-0.3934917449951172,0.027835048735141754,-0.25249746441841125,0.0317753404378891,2,0,18,workday,1.0,pca,pca
test,7,-0.5147509574890137,0.016957946121692657,-0.3789341151714325,-0.02249789424240589,2,0,19,workday,1.0,pca,pca
test,8,-0.566769003868103,0.028492135927081108,-0.4391770362854004,-0.05504828691482544,2,0,19,workday,1.0,pca,pca
test,9,-0.6119228601455688,0.08219800889492035,-0.4541080892086029,-0.08146622776985168,2,0,20,workday,1.0,pca,pca
test,10,-0.5328099131584167,0.07750187814235687,-0.4224484860897064,-0.07638155668973923,2,0,20,workday,1.0,pca,pca
test,11,-0.4480419158935547,0.036840155720710754,-0.3497825264930725,-0.05589015781879425,2,0,21,workday,1.0,pca,pca
test,12,-0.4372449517250061,0.06262260675430298,-0.3333744406700134,-0.0567062571644783,2,0,21,workday,1.0,pca,pca
test,13,-0.3722977340221405,0.1838335394859314,-0.3223411738872528,-0.06421636790037155,2,0,22,workday,1.0,pca,pca
test,14,-0.3362810015678406,0.13392768800258636,-0.26071611046791077,-0.05127827078104019,2,0,22,workday,1.0,pca,pca
test,15,-0.24693067371845245,0.11227725446224213,-0.19635902345180511,-0.04196561872959137,2,0,23,workday,1.0,pca,pca
test,16,-0.14667828381061554,-0.039049193263053894,-0.05366707965731621,-0.024718767032027245,2,0,23,workday,1.0,pca,pca
test,17,-0.06618465483188629,-0.15358257293701172,0.08609699457883835,0.00033971588709391654,2,0,0,workday,1.0,pca,pca
test,18,0.1677829474210739,-0.18749012053012848,0.1964361071586609,0.01725839264690876,1,1,0,workday,0.9999998807907104,pca,pca
test,19,0.43324780464172363,-0.02129621058702469,0.3433060944080353,0.022495461627840996,0,2,1,workday,1.0,pca,pca
test,20,0.6390461325645447,-0.05355677753686905,0.43777376413345337,0.018618246540427208,0,2,1,workday,1.0,pca,pca
test,21,0.7094975709915161,-0.03228864073753357,0.5080249905586243,0.015804313123226166,0,2,2,workday,1.0,pca,pca
test,22,0.7780239582061768,-0.019689198583364487,0.5593680143356323,0.018034718930721283,0,2,2,workday,1.0,pca,pca
test,23,0.8393511772155762,-0.0514431968331337,0.5855525732040405,0.006563680712133646,0,2,3,workday,1.0,pca,pca
test,24,0.8393110632896423,-0.04147767648100853,0.6090067028999329,0.01100950688123703,0,2,3,workday,1.0,pca,pca
test,25,0.8494257926940918,-0.12023325264453888,0.6450884342193604,0.030488483607769012,0,2,4,workday,1.0,pca,pca
test,26,0.8441263437271118,-0.1106048971414566,0.6597911715507507,0.00536090275272727,0,2,4,workday,1.0,pca,pca
test,27,0.6844232082366943,0.07568749040365219,0.6448884606361389,-0.04061459004878998,0,2,5,workday,1.0,pca,pca
test,28,0.7159668803215027,0.09826679527759552,0.6255675554275513,-0.07806014269590378,0,2,5,workday,1.0,pca,pca
test,29,0.3399115204811096,-0.23187972605228424,0.5779906511306763,-0.1915675699710846,0,2,6,workday,1.0,pca,pca
test,30,0.15076307952404022,-0.2824361026287079,0.4895096719264984,-0.2962428629398346,2,0,6,workday,1.0,pca,pca
test,31,-0.056014273315668106,-0.030107637867331505,0.24872343242168427,-0.4033306837081909,1,1,7,workday,1.0,pca,pca
test,32,-0.23466455936431885,-0.17602665722370148,0.02167491801083088,-0.3848303556442261,2,0,7,workday,1.0,pca,pca
test,33,-0.5250226855278015,-0.43341687321662903,-0.21073436737060547,-0.4038981795310974,2,0,8,workday,1.0,pca,pca
test,34,-0.5845963954925537,-0.4000324606895447,-0.28212234377861023,-0.3034422695636749,2,0,8,workday,1.0,pca,pca
test,35,-0.6665622591972351,-0.3772273659706116,-0.35585591197013855,-0.2790994942188263,2,0,9,workday,1.0,pca,pca
test,36,-0.5729852318763733,-0.31397417187690735,-0.36164793372154236,-0.2002541571855545,2,0,9,workday,1.0,pca,pca
test,37,-0.2927572727203369,-0.06323718279600143,-0.3166777789592743,-0.1262185126543045,2,0,10,workday,1.0,pca,pca
test,38,-0.17981810867786407,-0.021398479118943214,-0.2624225318431854,-0.04208342358469963,2,0,10,workday,1.0,pca,pca
test,39,-0.12294790148735046,0.11943893134593964,-0.2211943119764328,0.036867406219244,2,0,11,workday,0.9997842907905579,pca,pca
test,40,-0.07635997235774994,0.12046592682600021,-0.19189617037773132,0.052216365933418274,1,1,11,workday,1.0,pca,pca
test,41,-0.2088020294904709,0.14594246447086334,-0.2203122228384018,0.056801892817020416,2,0,12,workday,1.0,pca,pca
test,42,-0.2364502102136612,0.22685080766677856,-0.25997477769851685,0.047929391264915466,2,0,12,workday,1.0,pca,pca
test,43,-0.18811151385307312,0.2370050549507141,-0.25102779269218445,0.06018492951989174,2,0,13,workday,1.0,pca,pca
test,44,-0.12543265521526337,0.22762909531593323,-0.199288010597229,0.10541689395904541,1,1,13,workday,1.0,pca,pca
test,45,-0.17140516638755798,0.16328498721122742,-0.21356560289859772,0.08712603896856308,2,0,14,workday,1.0,pca,pca
test,46,-0.17698515951633453,0.1821354776620865,-0.19981566071510315,0.0857626274228096,2,0,14,workday,1.0,pca,pca
test,47,-0.2489667683839798,0.21948687732219696,-0.22589346766471863,0.08728773146867752,2,0,15,workday,1.0,pca,pca
test,48,-0.2565178871154785,0.2267991304397583,-0.2238733023405075,0.0993141159415245,2,0,15,workday,1.0,pca,pca
test,49,-0.13751578330993652,0.27293890714645386,-0.2182266265153885,0.11165428906679153,1,1,16,workday,0.9923970103263855,pca,pca
test,50,0.03913719952106476,0.22722311317920685,-0.1128939613699913,0.1347726285457611,1,1,16,workday,1.0,pca,pca
test,51,0.1283002346754074,0.1896403431892395,-0.05418233573436737,0.14528249204158783,1,1,17,workday,1.0,pca,pca
test,52,0.04187433421611786,0.1646847426891327,-0.07262057811021805,0.14861999452114105,1,1,17,workday,1.0,pca,pca
