sample_index,native_mae,invariant_mae,expert_0_mae,expert_1_mae,expert_2_mae,native_argmax_mae,uniform_mae,oracle_mae,oracle_route,native_route,native_argmax_route,best_env_route,environment_gain,oracle_environment_group,route_regret,relative_route_regret,argmax_route_regret,env_use_score,correction_norm,routing_entropy,max_router_prob,valid_count,expert_selection_regret
0,10.230986182369403,108.25409573227611,10.239520172574627,10.230986182369403,10.222551488164646,10.230986182369403,10.230955209305037,10.222551488164646,expert_2,1,1,2,0.9055689171017963,environment_preferred,0.008434694204757065,0.0008251065513851893,0.008434694204757065,,0.5379618406295776,5.5262041470660606e-11,1.0,134,0.008434694204757065
1,7.35831064077524,101.0564453125,7.349867131159856,7.35831064077524,7.3531747671274035,7.35831064077524,7.353775728665865,7.349867131159856,expert_0,1,1,0,0.9272696846952054,environment_preferred,0.008443509615384315,0.0011487975856853177,0.008443509615384315,,0.5196141004562378,5.5262041470660606e-11,1.0,130,0.008443509615384315
2,9.096609521099902,94.43916092519684,9.090506966658465,9.096609521099902,9.09821854238435,9.096609521099902,9.095062015563483,9.090506966658465,expert_0,1,1,0,0.9037421883294913,environment_preferred,0.006102554441437036,0.0006713106830916652,0.006102554441437036,,0.48745107650756836,5.5262041470660606e-11,1.0,127,0.006102554441437036
3,7.755031378694283,84.6931625484496,7.767158922298934,7.755031378694283,7.759015696917394,7.755031378694283,7.76039916045906,7.755031378694283,expert_1,1,1,1,0.9084337962434933,environment_preferred,0.0,0.0,0.0,,0.4545039236545563,5.5262041470660606e-11,1.0,129,0.0
4,7.609074379081156,85.93640683302239,7.599768795184235,7.609074379081156,7.614260545417444,7.609074379081156,7.607701088065531,7.599768795184235,expert_0,1,1,0,0.9115652018131167,environment_preferred,0.009305583896921377,0.0012244561838273382,0.009305583896921377,,0.47305816411972046,5.5262041470660606e-11,1.0,134,0.009305583896921377
5,8.436376599298008,101.5093551856884,8.435004635133605,8.436376599298008,8.436557051064312,8.436376599298008,8.435854704483695,8.435004635133605,expert_0,1,1,0,0.9169041649441702,environment_preferred,0.0013719641644023284,0.00016265126384018842,0.0013719641644023284,,0.5258625745773315,5.5262041470660606e-11,1.0,138,0.0013719641644023284
6,7.874877099277211,118.63241390306122,7.876424153645833,7.873361600499575,7.874877099277211,7.874877099277211,7.8748862337903915,7.873361600499575,expert_1,2,2,1,0.9336322903541929,environment_preferred,0.0015154987776364592,0.00019248433573028055,0.0015154987776364592,,0.5989031195640564,5.5262041470660606e-11,1.0,147,0.0015154987776364592
7,8.596345004656458,130.8091240687086,8.592838110513245,8.595636835161423,8.596345004656458,8.596345004656458,8.594639253932119,8.592838110513245,expert_0,2,2,0,0.9343101012892665,environment_preferred,0.003506894143212591,0.0004081182605921487,0.003506894143212591,,0.6630532741546631,5.5262041470660606e-11,1.0,151,0.003506894143212591
8,8.38690881921141,142.72011325503357,8.384086455274748,8.37428560192953,8.38690881921141,8.38690881921141,8.38175728817114,8.37428560192953,expert_1,2,2,1,0.9413237180735339,environment_preferred,0.012623217281879207,0.0015073784059825561,0.012623217281879207,,0.6948169469833374,5.5262041470660606e-11,1.0,149,0.012623217281879207
9,8.287445850861378,142.3462414863782,8.296737279647436,8.2931150778746,8.287445850861378,8.287445850861378,8.292308318309296,8.287445850861378,expert_2,2,2,2,0.9417796651016286,environment_preferred,0.0,0.0,0.0,,0.7159263491630554,5.5262041470660606e-11,1.0,156,0.0
