rank,node,mean_abs_correction
1,86,389.9794006347656
2,66,384.0854797363281
3,45,382.39691162109375
4,67,358.9385681152344
5,65,343.8380126953125
6,87,330.1603698730469
7,44,302.5476989746094
8,108,242.66331481933594
9,64,198.7279815673828
10,24,198.5065460205078
11,107,188.56698608398438
12,46,185.28085327148438
13,43,177.093017578125
14,42,171.583740234375
15,68,168.45538330078125
16,172,154.50616455078125
17,197,154.49366760253906
18,148,154.2064666748047
19,173,153.30638122558594
20,194,152.93551635742188
21,192,152.48141479492188
22,175,151.90980529785156
23,23,151.44053649902344
24,109,151.31533813476562
25,143,150.99339294433594
26,126,149.6844940185547
27,140,148.27532958984375
28,142,147.81265258789062
29,26,147.66558837890625
30,141,147.49266052246094
