seed,cluster,expert,validation_cross_mae
2024,0,0,6.154427162652404
2024,0,1,6.157090989635557
2024,0,2,6.145765797631878
2024,1,0,9.562239436372167
2024,1,1,9.563093003851877
2024,1,2,9.568893529789243
2024,2,0,9.685375723390123
2024,2,1,9.686728353219815
2024,2,2,9.69102753862667
2025,0,0,5.512677345833757
2025,0,1,5.513410724497444
2025,0,2,5.506010616128627
2025,1,0,8.649861064461222
2025,1,1,8.650531747891831
2025,1,2,8.650907578204912
2025,2,0,8.920008946349826
2025,2,1,8.91778339434647
2025,2,2,8.919654645650692
2026,0,0,9.851455535333544
2026,0,1,9.925546806743348
2026,0,2,10.01893075522423
2026,1,0,9.207651702623064
2026,1,1,9.252639929680923
2026,1,2,9.203535203266489
2026,2,0,6.155195208495796
2026,2,1,6.038795553586513
2026,2,2,6.284568043593792
