route_mode,group,num_samples,mae
learned,overall,4,113.07648468017578
learned,workday,4,113.07648468017578
learned,holiday,0,
learned,rush_hour,1,98.24623107910156
learned,non_rush_hour,3,117.9693374633789
uniform,overall,4,120.60121154785156
uniform,workday,4,120.60121154785156
uniform,holiday,0,
uniform,rush_hour,1,105.7811279296875
uniform,non_rush_hour,3,125.49070739746094
shuffled,overall,4,113.07648468017578
shuffled,workday,4,113.07648468017578
shuffled,holiday,0,
shuffled,rush_hour,1,98.24623107910156
shuffled,non_rush_hour,3,117.9693374633789
remove_0,overall,4,108.39759826660156
remove_0,workday,4,108.39759826660156
remove_0,holiday,0,
remove_0,rush_hour,1,94.55308532714844
remove_0,non_rush_hour,3,112.96522521972656
remove_1,overall,4,145.462890625
remove_1,workday,4,145.462890625
remove_1,holiday,0,
remove_1,rush_hour,1,130.672607421875
remove_1,non_rush_hour,3,150.342529296875
remove_2,overall,4,108.14768981933594
remove_2,workday,4,108.14768981933594
remove_2,holiday,0,
remove_2,rush_hour,1,93.80001068115234
remove_2,non_rush_hour,3,112.8813247680664
