epoch,train_loss,train_mse,train_regret_bce,test_avg_mae,train_learned_routing_mae,train_all_environment_mae,train_net_gain,train_inv_route_ratio,train_inv_switch_precision,train_delta_hat_min,train_delta_hat_mean,train_delta_hat_max,train_delta_hat_std,train_inv_auroc,train_inv_auprc,train_delta_pearson,train_delta_spearman,val_learned_routing_mae,val_all_environment_mae,val_net_gain,val_inv_route_ratio,val_inv_switch_precision,val_delta_hat_min,val_delta_hat_mean,val_delta_hat_max,val_delta_hat_std,val_inv_auroc,val_inv_auprc,val_delta_pearson,val_delta_spearman,test_learned_routing_mae,test_all_environment_mae,test_net_gain,test_inv_route_ratio,test_inv_switch_precision,test_delta_hat_min,test_delta_hat_mean,test_delta_hat_max,test_delta_hat_std,test_inv_auroc,test_inv_auprc,test_delta_pearson,test_delta_spearman
1,0.37704589799756094,3.2899441826911198,0.37704589799756094,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.13704904913902283,0.537711501121521,1.1634879112243652,0.19045385718345642,0.6307668956596912,0.29245242952104894,0.3863053076635182,0.3497410911355821,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.17259012162685394,0.5249733328819275,1.0887970924377441,0.1730511486530304,0.5191176470588236,0.3944500910386978,0.07227945391161113,0.09495876386387336,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.19325672090053558,0.536221444606781,1.1146490573883057,0.192044198513031,0.5699311639549437,0.39291479316369177,0.17203606984701447,0.2005849206728062
2,0.35728647673413866,2.8667092249506996,0.35728647673413866,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.1328403651714325,0.6925223469734192,1.7459954023361206,0.34770235419273376,0.6265213957795772,0.28871633977500527,0.28983981233648753,0.27475102895320014,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.15823331475257874,0.6585463881492615,1.5970865488052368,0.32596051692962646,0.5538461538461539,0.40210874441265043,0.12792444053717508,0.10544579508083157,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.16915521025657654,0.669403076171875,1.6994285583496094,0.3502887785434723,0.5732478097622028,0.37247837925189675,0.15399060067570025,0.17157089426180214
3,0.34834512003830503,3.4082391239347913,0.34834512003830503,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.1463133990764618,0.724784791469574,1.5866059064865112,0.2616997957229614,0.640674528540538,0.302111798534118,0.3522535234608468,0.30321500477538643,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.21188104152679443,0.6914411783218384,1.464832067489624,0.22272276878356934,0.5486990950226245,0.41748599357678423,0.09456254198507887,0.1171047930172018,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.2101885825395584,0.7190912961959839,1.5027810335159302,0.2575739622116089,0.5597465581977472,0.3769730511213614,0.14663799587627757,0.16673803696596912
4,0.3472782252090318,2.9446344182604833,0.3472782252090318,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.15031999349594116,0.7603407502174377,2.0854010581970215,0.3548847436904907,0.6607229668345069,0.33042683289523705,0.3921149696686631,0.3796222997305988,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.19308651983737946,0.7327210307121277,1.9172542095184326,0.30078569054603577,0.5107466063348416,0.39892893636131854,0.09236405204399685,0.07042038253717085,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.1927497833967209,0.7657096982002258,2.095881700515747,0.3568178117275238,0.5596057571964956,0.39503912168084765,0.14800880392583785,0.16347062025072187
5,0.336507314656462,3.129607092766535,0.336507314656462,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.138011172413826,0.8470602631568909,2.478114604949951,0.4209517538547516,0.6616072626644581,0.337919109696116,0.32169093619456324,0.33489142802435046,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.18439236283302307,0.8118931651115417,2.251265048980713,0.37728351354599,0.564027149321267,0.4292985285366663,0.14460660115805588,0.14435170668747313,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.16757164895534515,0.8377506732940674,2.456639289855957,0.425973504781723,0.590409887359199,0.409487034979362,0.18904015565517043,0.20359452700327865
6,0.3392356913004603,3.440354947816758,0.3392356913004603,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.08298490196466446,0.615135908126831,1.7051557302474976,0.2865538001060486,0.6563674799108665,0.3430500408082223,0.38896853841737294,0.3840015460001188,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.17766918241977692,0.5929232239723206,1.550840139389038,0.23800945281982422,0.4942873303167421,0.39477751497300634,0.07594835798902685,0.06142208156806698,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.15823982656002045,0.6321300268173218,1.719180703163147,0.28436291217803955,0.5509386733416771,0.387930807859985,0.15162190598802006,0.16270338185370972
7,0.33049713962134863,3.537200136411758,0.33049713962134863,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.13862432539463043,0.7918548583984375,1.7720614671707153,0.33793604373931885,0.6336925510174901,0.31845448799968157,0.3874640296973362,0.3631527570628569,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.2639760971069336,0.7921147346496582,1.639601469039917,0.2983287572860718,0.486368778280543,0.3779641921142364,0.0504728778594616,0.05128681537440662,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.17348724603652954,0.8174083232879639,1.6841824054718018,0.32715025544166565,0.5417553191489362,0.37517255196168864,0.1290319731984663,0.13874655274450653
8,0.3379894449597313,3.557341892378671,0.3379894449597313,11.303436279296875,9.391523361206055,9.391813278198242,0.0002899169921875,0.0017857142956927419,0.6666666865348816,-0.013097045943140984,0.7100587487220764,1.8253591060638428,0.36194100975990295,0.6556525641279457,0.34211129044930116,0.42962189964330827,0.4064315178929471,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.11697762459516525,0.6906285881996155,1.665788173675537,0.3066045641899109,0.48970588235294116,0.3914675442742898,0.07526471109586509,0.055205816081728504,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.06743353605270386,0.7234995365142822,1.832819938659668,0.35235968232154846,0.5512515644555694,0.38234987309583574,0.15851201691988426,0.18127922092164078
9,0.33783459677582695,3.0872446440515064,0.33783459677582695,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.06718888133764267,0.8488350510597229,2.0730602741241455,0.3552049398422241,0.6720439332246662,0.3520301069620883,0.379903412446158,0.37532220623193585,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.16687451303005219,0.8230487108230591,1.8815600872039795,0.3123171627521515,0.5459841628959275,0.4264083204782558,0.13066170981604142,0.1255454035016079,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.127478688955307,0.8604289889335632,2.0761775970458984,0.3561864197254181,0.5780976220275345,0.4026112207958468,0.18740726032979496,0.20307897995703034
10,0.3366669190781457,3.1464868324143547,0.3366669190781457,11.303122997283936,9.390334129333496,9.391813278198242,0.0014791488647460938,0.0071428571827709675,0.8333333134651184,-0.13152019679546356,0.7843465805053711,2.075201988220215,0.4123331904411316,0.6549662449763418,0.32699969771671783,0.33092988791574623,0.31522274474721723,12.36175537109375,12.362518310546875,0.000762939453125,0.0036496350076049566,1.0,-0.008350033313035965,0.7300454378128052,1.883578896522522,0.3759160339832306,0.5590497737556561,0.4437216875156428,0.14950180238901042,0.11811225271079288,11.257716178894043,11.257920265197754,0.0002040863037109375,0.007326007355004549,0.75,-0.09642276912927628,0.7622677683830261,2.090766429901123,0.4164530336856842,0.5842928660826032,0.4017922995221994,0.18692227582143783,0.19763886382808607
