representation,task,metric,value
environment,observable_load_regression,r2,0.7940874099731445
environment,observable_load_regression,mae,0.018716149032115936
environment,TOD,accuracy,0.7857142857142857
environment,TOD,macro_f1,0.7851568104806125
environment,TOD,knn5_accuracy,0.684981684981685
environment,TOD,silhouette,-0.07503334432840347
environment,workday,accuracy,0.6648351648351648
environment,workday,macro_f1,0.4773807842583439
environment,workday,auroc,0.6871027542372881
environment,workday,knn5_accuracy,0.7912087912087912
environment,workday,silhouette,-0.0004361876635812223
environment,target_route,accuracy,0.6886446886446886
environment,target_route,macro_f1,0.4078091106290672
environment,target_route,auroc,0.5749374217772216
environment,target_route,knn5_accuracy,0.6721611721611722
environment,target_route,silhouette,-0.009734713472425938
invariant,observable_load_regression,r2,0.947723388671875
invariant,observable_load_regression,mae,0.009354840964078903
invariant,TOD,accuracy,0.8809523809523809
invariant,TOD,macro_f1,0.8810546271568175
invariant,TOD,knn5_accuracy,0.8681318681318682
invariant,TOD,silhouette,-0.026557493954896927
invariant,workday,accuracy,0.8003663003663004
invariant,workday,macro_f1,0.762917933130699
invariant,workday,auroc,0.8542549435028248
invariant,workday,knn5_accuracy,0.86996336996337
invariant,workday,silhouette,0.002243184484541416
invariant,target_route,accuracy,0.6886446886446886
invariant,target_route,macro_f1,0.4078091106290672
invariant,target_route,auroc,0.5857165206508135
invariant,target_route,knn5_accuracy,0.6684981684981685
invariant,target_route,silhouette,-0.01486350130289793
