bin,delta_hat_min,delta_hat_max,count,target_invariant_ratio,predicted_invariant_ratio,mean_delta_true,invariant_switch_precision,actual_average_gain_if_routed
0,-0.7472313642501831,0.40919774770736694,55,0.45454545454545453,0.3090909090909091,0.0815163180232048,0.7058823529411765,0.046993229538202286
1,0.4117594063282013,0.5204086899757385,54,0.3148148148148148,0.0,0.18713673949241638,0.0,0.0
2,0.5231916904449463,0.6087870597839355,55,0.2909090909090909,0.0,0.1891879141330719,0.0,0.0
3,0.6094740033149719,0.6666079759597778,54,0.3148148148148148,0.0,0.12027913331985474,0.0,0.0
4,0.6668317317962646,0.7520226836204529,55,0.43636363636363634,0.0,0.10890300571918488,0.0,0.0
5,0.7521143555641174,0.8346682786941528,54,0.3148148148148148,0.0,0.21649158000946045,0.0,0.0
6,0.8375261425971985,0.9360912442207336,55,0.3090909090909091,0.0,0.22710935771465302,0.0,0.0
7,0.9391477704048157,1.088852047920227,54,0.2037037037037037,0.0,0.28634747862815857,0.0,0.0
8,1.0892914533615112,1.5009946823120117,55,0.34545454545454546,0.0,0.17211206257343292,0.0,0.0
9,1.5163486003875732,4.708388805389404,55,0.12727272727272726,0.0,0.4422130584716797,0.0,0.0
