group,value,count,target_invariant_ratio,predicted_invariant_ratio,precision,recall,net_gain
hour,0,23,0.3478260934352875,0.1304347813129425,0.6666666865348816,0.25,0.02533435821533203
hour,1,22,0.5909090638160706,0.0,0.0,0.0,0.0
hour,2,22,0.4545454680919647,0.0,0.0,0.0,0.0
hour,3,22,0.4545454680919647,0.0,0.0,0.0,0.0
hour,4,22,0.13636364042758942,0.0,0.0,0.0,0.0
hour,5,22,0.13636364042758942,0.0,0.0,0.0,0.0
hour,6,22,0.09090909361839294,0.0,0.0,0.0,0.0
hour,7,22,0.22727273404598236,0.0,0.0,0.0,0.0
hour,8,22,0.22727273404598236,0.0,0.0,0.0,0.0
hour,9,22,0.40909090638160706,0.0,0.0,0.0,0.0
hour,10,22,0.22727273404598236,0.0,0.0,0.0,0.0
hour,11,22,0.22727273404598236,0.0,0.0,0.0,0.0
hour,12,22,0.40909090638160706,0.0,0.0,0.0,0.0
hour,13,22,0.3636363744735718,0.0,0.0,0.0,0.0
hour,14,22,0.3181818127632141,0.0,0.0,0.0,0.0
hour,15,23,0.30434781312942505,0.0,0.0,0.0,0.0
hour,16,24,0.0833333358168602,0.0,0.0,0.0,0.0
hour,17,24,0.3333333432674408,0.0833333358168602,1.0,0.25,0.04467582702636719
hour,18,24,0.5,0.25,0.5,0.25,0.0018978118896484375
hour,19,24,0.4166666567325592,0.0,0.0,0.0,0.0
hour,20,24,0.375,0.0,0.0,0.0,0.0
hour,21,24,0.125,0.0,0.0,0.0,0.0
hour,22,24,0.3333333432674408,0.125,0.6666666865348816,0.25,0.0151519775390625
hour,23,24,0.375,0.125,1.0,0.3333333432674408,0.021688461303710938
day_type,0,354,0.3192090392112732,0.0451977401971817,0.75,0.10619468986988068,0.0078029632568359375
day_type,1,192,0.296875,0.0052083334885537624,0.0,0.0,-0.0009222030639648438
peak,0,384,0.3098958432674408,0.0234375,0.7777777910232544,0.05882352963089943,0.0038204193115234375
peak,1,162,0.31481480598449707,0.04938271641731262,0.625,0.09803921729326248,0.006900787353515625
