sample_index,base_mae,full_mae,delta_base_minus_full,base_mae_masked,full_mae_masked,delta_masked_base_minus_full,metric_valid_count,env_delta_abs_mean,env_delta_signed_mean,label,label_masked
0,71.52163696289062,66.00337982177734,5.518257141113281,37.086055755615234,14.594461441040039,22.491594314575195,128,12.062768936157227,12.062768936157227,env_helps,env_helps
1,69.20457458496094,64.30728149414062,4.8972930908203125,31.83054296875,12.759330078125,19.071212890625,125,9.767240524291992,9.767240524291992,env_helps,env_helps
2,67.51053619384766,63.374961853027344,4.1355743408203125,28.683143028846153,12.770962706997864,15.91218032184829,117,7.791954517364502,7.791954517364502,env_helps,env_helps
3,67.73468017578125,63.43319320678711,4.301486968994141,26.687900946392276,11.327112709603659,15.360788236788617,123,7.293153285980225,7.293153285980225,env_helps,env_helps
4,71.5501708984375,66.40280151367188,5.147369384765625,34.557454427083336,12.681260850694445,21.876193576388893,126,11.217055320739746,11.217055320739746,env_helps,env_helps
5,75.38899230957031,70.72538757324219,4.663604736328125,41.669990007267444,13.725495094476743,27.944494912790702,129,17.241003036499023,17.241003036499023,env_helps,env_helps
6,77.8603286743164,72.94483184814453,4.915496826171875,44.55671735491072,13.867795235770089,30.688922119140628,140,21.38641929626465,21.38641929626465,env_helps,env_helps
7,78.73564147949219,71.49945831298828,7.236183166503906,48.111060248480904,13.862458970811632,34.24860127766927,144,21.362634658813477,21.362634658813477,env_helps,env_helps
8,78.38416290283203,68.79452514648438,9.589637756347656,53.545445797217155,14.590403313184307,38.955042484032845,137,20.845624923706055,20.845624923706055,env_helps,env_helps
9,76.77515411376953,65.8252182006836,10.949935913085938,50.508163144924495,13.628571990352349,36.87959115457215,149,20.101526260375977,20.101526260375977,env_helps,env_helps
10,72.75765228271484,62.111053466796875,10.646598815917969,43.72920236895161,12.32841560609879,31.40078676285282,155,18.042076110839844,18.042076110839844,env_helps,env_helps
11,70.71646118164062,59.67047882080078,11.045982360839844,43.27817102906051,13.647432946855096,29.63073808220541,157,15.150915145874023,15.150915145874023,env_helps,env_helps
12,70.19905090332031,58.584659576416016,11.614391326904297,44.693236536949684,14.288822965801886,30.4044135711478,159,14.546050071716309,14.546050071716309,env_helps,env_helps
13,68.07453918457031,56.57855987548828,11.495979309082031,40.93138586956522,11.379624266061724,29.551761603503493,161,14.464984893798828,14.464984893798828,env_helps,env_helps
14,67.7763442993164,56.337196350097656,11.43914794921875,39.55441524621212,11.029979728929924,28.5244355172822,165,14.295746803283691,14.254511833190918,env_helps,env_helps
15,65.92951202392578,56.70039367675781,9.229118347167969,34.58810201505335,11.691703982469512,22.89639803258384,164,12.624506950378418,12.510417938232422,env_helps,env_helps
16,65.61683654785156,58.17105484008789,7.445781707763672,30.411515442251464,12.537215026498538,17.874300415752927,171,9.73863410949707,9.562386512756348,env_helps,env_helps
17,65.12638092041016,59.21826171875,5.908119201660156,27.651352300876525,12.856632883955793,14.794719416920731,164,6.895633697509766,6.712637424468994,env_helps,env_helps
18,62.232460021972656,58.56459045410156,3.6678695678710938,17.42397553066038,7.608528952928459,9.815446577731919,159,4.947892665863037,4.825461387634277,env_helps,env_helps
19,63.255332946777344,61.35576629638672,1.899566650390625,13.921635524482484,8.501931354498408,5.419704169984076,157,2.9789485931396484,2.9746627807617188,env_helps,env_helps
20,65.27116394042969,64.25666809082031,1.014495849609375,10.883707682291666,7.392646789550781,3.491060892740885,144,1.7121466398239136,1.708940029144287,env_helps,env_helps
21,68.56808471679688,68.35155487060547,0.21652984619140625,7.459196708571743,6.188974299900968,1.270222408670775,142,0.9568060040473938,0.9557536840438843,env_helps,env_helps
22,73.25288391113281,73.2890853881836,-0.03620147705078125,6.304632055850429,5.8701470062022905,0.4344850496481385,131,0.38653603196144104,0.37054264545440674,env_hurts,env_helps
23,78.87457275390625,78.92831420898438,-0.053741455078125,6.623515161974677,6.506199277680496,0.1173158842941806,116,0.12178120017051697,0.11474712193012238,env_hurts,env_helps
24,84.02193450927734,84.05301666259766,-0.0310821533203125,5.643689307096962,5.643689307096962,0.0,107,0.031084641814231873,0.031084641814231873,env_hurts,env_neutral
25,89.65962982177734,89.65962982177734,0.0,5.525063309015012,5.525063309015012,0.0,102,0.0,0.0,env_neutral,env_neutral
26,92.64131164550781,92.64131164550781,0.0,5.347856973864369,5.347856973864369,0.0,97,0.0,0.0,env_neutral,env_neutral
27,93.40045166015625,93.40045166015625,0.0,4.585618129996366,4.585618129996366,0.0,86,0.0,0.0,env_neutral,env_neutral
28,91.60858154296875,91.60858154296875,0.0,5.122902248216712,5.122902248216712,0.0,92,0.0,0.0,env_neutral,env_neutral
29,91.23234558105469,91.07794952392578,0.15439605712890625,13.499040876116071,12.868889010682398,0.6301518654336729,98,0.15438708662986755,0.15438708662986755,env_helps,env_helps
30,90.9736099243164,89.16766357421875,1.8059463500976562,16.315468884389336,9.222858953913418,7.092609930475918,109,2.1778337955474854,2.151853322982788,env_helps,env_helps
31,94.9990234375,88.7890396118164,6.209983825683594,35.35947575644841,13.52204822358631,21.8374275328621,126,7.9820990562438965,7.961205959320068,env_helps,env_helps
32,91.39118957519531,83.38214874267578,8.009040832519531,40.228680889423075,10.099718299278846,30.128962590144226,130,13.0702486038208,13.035063743591309,env_helps,env_helps
33,87.87281036376953,80.3674545288086,7.5053558349609375,51.19536756931391,12.96526411242951,38.2301034568844,133,21.243207931518555,21.243207931518555,env_helps,env_helps
34,81.84260559082031,74.31575012207031,7.52685546875,51.62432502297794,14.696740543141084,36.92758447983686,136,21.940597534179688,21.92245864868164,env_helps,env_helps
35,78.10565185546875,69.09552001953125,9.0101318359375,52.84091435185185,13.730436197916667,39.11047815393518,135,21.544267654418945,21.544267654418945,env_helps,env_helps
36,73.44601440429688,65.09729766845703,8.348716735839844,47.5087890625,13.308736772679572,34.20005228982043,134,19.25707244873047,19.251888275146484,env_helps,env_helps
