sample_index,full_mae_seed2024,inv_mae_seed2024,delta_seed2024,full_mae_seed2025,inv_mae_seed2025,delta_seed2025,full_mae_seed2026,inv_mae_seed2026,delta_seed2026,mean_full_mae,mean_inv_mae,mean_delta,full_win_count,inv_win_count,consistency_label
0,41.55573654174805,39.29743957519531,-2.2582969665527344,52.458309173583984,52.42066955566406,-0.037639617919921875,52.462371826171875,51.030738830566406,-1.4316329956054688,48.82547251383463,47.58294932047526,-1.242523193359375,0,3,InvOnly consistently better
1,42.837554931640625,38.435386657714844,-4.402168273925781,53.187782287597656,53.33974075317383,0.15195846557617188,51.39759826660156,50.1376838684082,-1.2599143981933594,49.140978495279946,47.30427042643229,-1.8367080688476562,1,2,Mixed
2,46.83457565307617,40.5405158996582,-6.294059753417969,56.751197814941406,56.851287841796875,0.10009002685546875,54.03401184082031,52.813236236572266,-1.2207756042480469,52.5399284362793,50.068346659342446,-2.471581776936849,1,2,Mixed
3,49.62957000732422,42.54746627807617,-7.082103729248047,59.62590789794922,59.876461029052734,0.2505531311035156,56.686767578125,55.395843505859375,-1.290924072265625,55.31408182779948,52.606590270996094,-2.7074915568033853,1,2,Mixed
4,48.34437942504883,40.263458251953125,-8.080921173095703,57.125980377197266,57.21284103393555,0.08686065673828125,54.781394958496094,53.39826965332031,-1.3831253051757812,53.41725158691406,50.29152297973633,-3.1257286071777344,1,2,Mixed
5,48.05839538574219,38.91609191894531,-9.142303466796875,53.2495231628418,53.320465087890625,0.07094192504882812,52.70648956298828,50.99226379394531,-1.7142257690429688,51.33813603719076,47.742940266927086,-3.595195770263672,1,2,Mixed
6,51.917049407958984,42.9034309387207,-9.013618469238281,51.945335388183594,51.91676712036133,-0.028568267822265625,53.308658599853516,51.72114181518555,-1.5875167846679688,52.39034779866537,48.847113291422524,-3.5432345072428384,0,3,InvOnly consistently better
7,56.88493728637695,47.791221618652344,-9.09371566772461,55.1047248840332,54.717716217041016,-0.3870086669921875,57.041259765625,55.305458068847656,-1.7358016967773438,56.343640645345054,52.60479863484701,-3.738842010498047,0,3,InvOnly consistently better
8,59.527950286865234,51.007259368896484,-8.52069091796875,57.916141510009766,57.586307525634766,-0.329833984375,59.70494079589844,58.205509185791016,-1.4994316101074219,59.04967753092448,55.599692026774086,-3.4499855041503906,0,3,InvOnly consistently better
9,60.98418045043945,52.395118713378906,-8.589061737060547,59.55552673339844,59.1976432800293,-0.3578834533691406,61.21128845214844,59.471092224121094,-1.7401962280273438,60.583665211995445,57.02128473917643,-3.5623804728190103,0,3,InvOnly consistently better
10,59.618656158447266,49.63490295410156,-9.983753204345703,58.19444274902344,57.769744873046875,-0.4246978759765625,59.572479248046875,57.881736755371094,-1.6907424926757812,59.128526051839195,55.09546152750651,-4.033064524332683,0,3,InvOnly consistently better
11,58.67646789550781,48.57242202758789,-10.104045867919922,57.73130798339844,57.243106842041016,-0.4882011413574219,59.11443328857422,57.407039642333984,-1.7073936462402344,58.50740305582682,54.40752283732096,-4.099880218505859,0,3,InvOnly consistently better
12,58.36909103393555,48.16383743286133,-10.205253601074219,57.98109817504883,57.38471984863281,-0.5963783264160156,59.024227142333984,57.36612319946289,-1.6581039428710938,58.45813878377279,54.304893493652344,-4.153245290120442,0,3,InvOnly consistently better
