sample_index,valid_count_masked,mae_masked_full,mae_unmasked_full,mae_masked_inv_disentangle,mae_unmasked_inv_disentangle,mae_masked_inv_no_env,mae_unmasked_inv_no_env,gain_full_vs_inv_disentangle,gain_full_vs_inv_no_env,gain_inv_disentangle_vs_inv_no_env,best_model_masked,best_margin_masked
0,128,14.594461664557457,66.00337556362152,14.892322942614555,63.33121643543243,16.439597755670547,22.110723662376405,0.2978612780570984,1.8451360911130905,1.5472748130559921,full,0.2978612780570984
1,125,12.759329940795899,64.30728073120117,12.784067810058593,62.576844673156735,14.623699508666991,21.44556165218353,0.024737869262693835,1.8643695678710923,1.8396316986083985,full,0.024737869262693835
2,117,12.770961957100111,63.37496263027191,12.712454249716213,62.559206609725955,15.59257166609805,21.578566694259642,-0.05850770738389777,2.821609708997938,2.880117416381836,inv_disentangle,0.05850770738389777
3,123,11.327112601055362,63.43319103717804,11.142932256062826,62.3822194480896,15.80852023178969,21.887127413749695,-0.18418034499253544,4.481407630734328,4.665587975726863,inv_disentangle,0.18418034499253544
4,126,12.681260835556756,66.40280702590942,14.135086861867753,63.189300565719606,14.100471208965967,21.308349828720093,1.4538260263109972,1.4192103734092107,-0.034615652901786476,full,1.4192103734092107
5,129,13.725495109262393,70.72539581298828,12.593629482180573,62.43076917648315,13.974941638088966,21.274039931297303,-1.1318656270818206,0.2494465288265726,1.3813121559083932,inv_disentangle,1.1318656270818206
6,140,13.867795031411307,72.944832239151,11.806973961421422,61.937367129325864,12.795382826668876,21.16374915599823,-2.060821069989885,-1.072412204742431,0.9884088652474539,inv_disentangle,0.9884088652474539
7,144,13.862459633085463,71.49945638656617,12.730934686130947,61.919178175926206,11.838380959298876,20.909482426643372,-1.1315249469545154,-2.024078673786587,-0.8925537268320713,inv_no_env,0.8925537268320713
8,137,14.590403758696397,68.7945232629776,14.947497388742265,62.28708916187286,15.10668462210328,21.992477617263795,0.3570936300458687,0.5162808634068838,0.15918723336101515,full,0.3570936300458687
9,149,13.628571196690501,65.82521055221558,14.062231895907614,62.106396999359134,13.008715827993099,21.520773401260374,0.43366069921711237,-0.6198553686974027,-1.053516067914515,inv_no_env,0.6198553686974027
